ESTU_GENERO,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULACREDITO,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_NUMPERSONASACARGO,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL,FELICIDAD
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,138,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,5 o 6,Entre 11 y 20 horas,136,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,135,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,134,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,0,Entre 11 y 20 horas,133,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,1,Más de 30 horas,133,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,1,Más de 30 horas,132,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,Menos de 10 horas,132,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,No,Si,Si,1,Menos de 10 horas,130,60%
M,Menos de 500 mil,Si,Estrato 1,Si,Si,Si,Si,Si,0,Más de 30 horas,129,60%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,129,60%
F,No pagó matrícula,No,Estrato 4,Si,Si,Si,Si,No,2,Más de 30 horas,127,60%
F,Menos de 500 mil,No,Estrato 5,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,125,60%
M,No pagó matrícula,Si,Estrato 2,Si,Si,Si,No,Si,0,Entre 21 y 30 horas,125,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,123,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,121,60%
F,Menos de 500 mil,No,Estrato 3,No,No,Si,Si,Si,0,Entre 21 y 30 horas,117,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,1,Entre 11 y 20 horas,115,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 6,Si,Si,Si,No,No,0,Más de 30 horas,112,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,2,Menos de 10 horas,109,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,Si,No,2,Menos de 10 horas,107,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,104,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,No,No,Si,0,Entre 11 y 20 horas,99,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,94,60%
M,No pagó matrícula,No,Estrato 1,Si,Si,Si,No,No,2,0,88,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 6,Si,Si,Si,Si,No,1,Entre 21 y 30 horas,47,60%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,36,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,35,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,0,19,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,1,60%
M,Más de 7 millones,Si,Estrato 4,Si,Si,Si,Si,No,1,Menos de 10 horas,224,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,199,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,188,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 6,Si,Si,Si,Si,No,1,Más de 30 horas,187,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,185,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,183,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,No,Si,Si,1,Más de 30 horas,174,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,No,1,Más de 30 horas,173,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,No,1,Más de 30 horas,172,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 6,Si,Si,Si,No,No,1,Entre 21 y 30 horas,165,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,1,Entre 21 y 30 horas,163,60%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,No,1,0,162,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,162,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,No,Si,Si,3 o 4,Menos de 10 horas,161,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,No,2,Más de 30 horas,160,60%
M,Entre 5.5 millones y menos de 7 millones,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,160,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,159,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,No,Si,No,1,Menos de 10 horas,158,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 1,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,157,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,No,0,Menos de 10 horas,156,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,No,No,No,0,0,152,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,150,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,2,0,149,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,Si,0,Más de 30 horas,144,60%
F,No pagó matrícula,No,Estrato 1,Si,Si,Si,No,No,2,Menos de 10 horas,141,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,140,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,139,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,2,0,138,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,136,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,0,136,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,133,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,Si,1,Más de 30 horas,131,60%
F,Más de 7 millones,No,Estrato 4,Si,Si,Si,Si,Si,1,Más de 30 horas,131,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,1,Más de 30 horas,129,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,Si,1,Más de 30 horas,129,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,No,No,Si,2,Menos de 10 horas,123,60%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,2,Más de 30 horas,122,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,118,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,113,60%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,Si,Si,0,Más de 30 horas,109,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,105,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,Si,0,Más de 30 horas,98,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,1,Más de 30 horas,98,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,96,60%
F,Más de 7 millones,No,Estrato 3,Si,Si,Si,No,No,0,0,84,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,1,Más de 30 horas,81,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,63,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,55,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,54,60%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,Si,0,Más de 30 horas,52,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,52,60%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,0,Más de 30 horas,51,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,No,Si,2,Menos de 10 horas,30,60%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,Si,No,0,Menos de 10 horas,26,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Menos de 10 horas,3,60%
F,Más de 7 millones,No,Estrato 3,Si,Si,No,No,No,0,0,216,60%
F,Más de 7 millones,No,Estrato 2,Si,Si,Si,No,No,1,0,188,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,Si,No,0,Más de 30 horas,187,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,No,No,1,Entre 21 y 30 horas,173,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,173,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,173,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,171,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,0,170,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,163,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,0,Más de 30 horas,160,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,157,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,1,Entre 21 y 30 horas,148,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,Si,Si,2,Entre 11 y 20 horas,148,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,0,Más de 30 horas,146,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,146,60%
M,Menos de 500 mil,No,Estrato 1,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,145,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,144,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,0,144,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 4,Si,Si,Si,Si,No,3 o 4,0,143,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,No,No,Si,0,Más de 30 horas,142,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,140,60%
M,Más de 7 millones,Si,Estrato 3,Si,Si,Si,Si,No,0,Menos de 10 horas,139,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,138,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,137,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,Entre 11 y 20 horas,133,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,132,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,132,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,131,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,1,Entre 11 y 20 horas,130,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,129,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,128,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,128,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,No,Si,Si,No,No,1,Menos de 10 horas,126,60%
M,Menos de 500 mil,No,Estrato 1,Si,Si,No,No,Si,3 o 4,0,126,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 4,Si,Si,Si,Si,No,2,Entre 11 y 20 horas,124,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 21 y 30 horas,121,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 3,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,120,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,118,60%
M,Entre 4 millones y menos de 5.5 millones,Si,Estrato 3,Si,Si,Si,Si,Si,1,Entre 21 y 30 horas,117,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,115,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,2,Menos de 10 horas,113,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,No,Si,No,Si,2,0,113,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,No,Si,No,0,Menos de 10 horas,111,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,No,0,Más de 30 horas,110,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,109,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,104,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,101,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,100,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,No,Si,2,Más de 30 horas,95,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,94,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,2,0,81,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,77,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,1,Menos de 10 horas,74,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,74,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,5 o 6,0,74,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,1,Más de 30 horas,69,60%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,2,Más de 30 horas,69,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,0,Más de 30 horas,64,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,61,60%
F,Más de 7 millones,No,Estrato 1,Si,Si,Si,No,Si,1,0,49,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,No,No,2,0,45,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 21 y 30 horas,41,60%
M,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,No,2,0,21,60%
M,Entre 5.5 millones y menos de 7 millones,Si,Estrato 4,Si,Si,Si,Si,No,3 o 4,0,199,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 6,Si,Si,Si,Si,No,2,Más de 30 horas,191,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,Si,Si,1,Más de 30 horas,179,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,175,60%
M,Más de 7 millones,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,173,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,172,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,168,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,No,No,2,Entre 21 y 30 horas,167,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,167,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,No,Si,Si,No,No,1,0,165,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 4,Si,Si,Si,Si,No,0,Más de 30 horas,165,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,Si,2,Entre 21 y 30 horas,164,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,5 o 6,0,159,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,159,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,159,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,158,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,157,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,156,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,154,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 1,Si,Si,Si,Si,Si,3 o 4,Entre 11 y 20 horas,154,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,Si,No,No,1,Entre 21 y 30 horas,153,60%
F,Entre 2.5 millones y menos de 4 millones,Si,Estrato 2,Si,Si,Si,Si,No,2,Menos de 10 horas,152,60%
F,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,152,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,150,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,0,Más de 30 horas,149,60%
M,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,No,1,Más de 30 horas,149,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,Si,No,1,Más de 30 horas,149,60%
M,Más de 7 millones,Si,Estrato 2,Si,Si,Si,No,Si,1,0,148,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,146,60%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 4,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,146,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,Si,2,Más de 30 horas,145,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,144,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,3 o 4,0,144,60%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,Si,1,Más de 30 horas,144,60%
F,Entre 4 millones y menos de 5.5 millones,Si,Estrato 6,Si,Si,Si,Si,No,0,Más de 30 horas,143,60%
F,No pagó matrícula,No,Estrato 1,Si,Si,Si,Si,No,2,Más de 30 horas,142,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,139,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 21 y 30 horas,135,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,No,Si,3 o 4,0,132,60%
M,No pagó matrícula,Si,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,131,60%
F,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,2,Más de 30 horas,130,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,Si,1,Más de 30 horas,130,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,1,Entre 11 y 20 horas,123,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,2,Menos de 10 horas,120,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 4,Si,Si,Si,No,Si,1,Más de 30 horas,119,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,No,No,1,Entre 11 y 20 horas,111,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,Si,2,Más de 30 horas,111,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,Si,No,2,Más de 30 horas,110,60%
M,Entre 4 millones y menos de 5.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Entre 21 y 30 horas,109,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,3 o 4,Más de 30 horas,106,60%
M,Menos de 500 mil,No,Estrato 2,Si,Si,Si,No,No,0,Más de 30 horas,100,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,No,No,2,Entre 11 y 20 horas,100,60%
F,Entre 500 mil y menos de 1 millón,Si,Estrato 2,Si,Si,Si,No,Si,2,Menos de 10 horas,99,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,No,2,0,98,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,No,2,0,96,60%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,5 o 6,Más de 30 horas,91,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 4,Si,Si,Si,Si,No,2,Más de 30 horas,84,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,2,Entre 11 y 20 horas,83,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,73,60%
F,Menos de 500 mil,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,72,60%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,No,Si,3 o 4,Entre 21 y 30 horas,71,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 2,Si,Si,Si,No,No,2,0,63,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 1,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,60,60%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,54,60%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,1,Entre 21 y 30 horas,45,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,2,Entre 21 y 30 horas,36,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Entre 11 y 20 horas,32,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 3,Si,Si,No,No,Si,1,Más de 30 horas,205,60%
F,Menos de 500 mil,Si,Estrato 2,Si,Si,Si,No,No,2,Menos de 10 horas,195,60%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,No,Si,3 o 4,Menos de 10 horas,187,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,No,No,3 o 4,Menos de 10 horas,176,60%
F,Entre 1 millón y menos de 2.5 millones,Si,Estrato 2,Si,Si,Si,Si,No,3 o 4,Menos de 10 horas,176,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,No,Si,No,No,2,0,174,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 3,Si,Si,Si,Si,No,2,Más de 30 horas,174,60%
F,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,No,No,Si,3 o 4,Menos de 10 horas,172,60%
M,Más de 7 millones,Si,Estrato 4,Si,Si,Si,Si,No,3 o 4,0,171,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,No,2,Más de 30 horas,168,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,No,No,Si,0,Más de 30 horas,165,60%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,No,No,2,Entre 21 y 30 horas,164,60%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 4,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,164,60%
M,No pagó matrícula,No,Estrato 3,Si,Si,Si,No,Si,5 o 6,Más de 30 horas,164,60%
F,No pagó matrícula,No,Estrato 3,Si,Si,No,No,No,5 o 6,0,160,60%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 1,Si,Si,Si,No,No,3 o 4,0,159,60%
F,Entre 5.5 millones y menos de 7 millones,Si,Estrato 1,Si,Si,Si,Si,Si,0,Más de 30 horas,158,60%
M,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,3 o 4,Más de 30 horas,155,60%
M,Entre 2.5 millones y menos de 4 millones,Si,Estrato 3,Si,Si,Si,Si,Si,2,Más de 30 horas,154,60%
F,Menos de 500 mil,Si,Estrato 2,Si,Si,Si,No,Si,3 o 4,Entre 11 y 20 horas,153,60%
